ex_name,ex_part,ex_method,ex_video1,ex_video2
백 익스텐션,허리,발을 지지대에 고정하고 허벅지 앞부분이 패드에 닿게 엎드린다. 팔은 가슴 위에 모으고 시선은 전방을 보도록 한다. 허리를 곧게 편 상태를 유지하면서 몸통을 90도 정도로 숙인다. 등이 곧게 펴질 때까지 상체를 들어올린다. 허리가 젖혀지는 느낌으로 원위치한다. 허리가 과신전되지 않도록 주의한다. 가동 범위가 작은 만큼 천천히 집중하여 동작한다.,back_extension.mp4,https://www.youtube.com/embed/pCY8xvkLHn8?si=-G3ra2yx0iGj_ARi
데드리프트 - 바벨,허리,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다. 어깨너비보다 약간 넓게 다리를 벌리고 서서 어깨너비로 바벨을 잡는다.허리를 똑바로 세워 차렷 자세를 취하듯 가슴을 내밀고 엉덩이를 뒤로 치켜든다. 무릎을 살짝 구부리면서 바벨을 정강이까지 내린 다음 앞으로 숙이면서 복부와 등을 긴장시킨다. 다시 등으로 끌어당기는 느낌으로 바벨을 들어올리면서 원위치해서 일어선다. 무릎 각을 유지한다. 요추의 정상적인 만곡을 유지한다. 고관절을 중심으로 상하체의 힘이 적절히 조화될 수 있도록 한다.",dead_lift-barbell.mp4,https://www.youtube.com/embed/EBjYQeeBI-0?si=OKpOgPG5cNS0UEqQ
데드리프트 - 덤벨,허리,"둔근, 대퇴 후면 근육 등 전신 근육 발달에 중요한 영향을 끼치는 운동이다. 신체의 파워를 기를 수 있고, 몸통을 둘러싸고 있는 근육들의 근력을 전반적으로 향상시킬 수 있는 운동이다. 바벨 데드리프트에 비해 무거운 중량을 들기는 힘들지만 밸런스를 위한 협응성을 기를 수 있다. 특히 무거운 중량의 바벨을 사용하기 어려운 여성들에게 권장되는 운동이다. 어깨너비 정도로 덤벨을 잡는다.허리를 똑바로 세워 차렷 자세를 취하듯 가슴을 내밀고 엉덩이를 뒤로 치켜든다. 무릎을 굽히고 허리를 앞으로 숙이면서 덤벨을 내린다.이때 복부와 등을 긴장시킨다. 다시 등으로 끌어당기는 느낌으로 원위치하면서 일어선다. 요추의 정상적인 만곡을 유지한다. 덤벨을 잡은 손이 대퇴부 전면을 따라 움직일 수 있도록 한다. 고관절을 중심으로 상하체의 힘이 적절히 조화될 수 있도록 한다.",dead_lift-dumbbell.mp4,https://www.youtube.com/embed/7RN8DHl6r3A?si=w1rHELPnkP-0tUMU
굿모닝,허리,"상체를 숙여 인사하는 듯한 동작 때문에 ‘굿모닝’이라고 이름 붙여졌다. 맨손으로 손쉽게 따라할 수 있는 동작으로 전신 후면에 탄력적인 라인을 만들어주는 데 효과적이다. 또한 요통이 있는 경우에도 많은 도움이 되는 운동이다. 이 동작은 처음에 허리에 자극을 느끼고 이어 엉덩이, 다리 뒤쪽까지 근육이 늘어나는 것을 느끼면서 실시하는 것이 포인트다. 양발은 어깨너비로 벌리고 선 상태에서 양손은 머리 뒤로 깎지를 껴준다. 인사하듯이 천천히 허리를 90도 정도로 굽힌다. 허리의 힘으로 천천히 상체를 일으켜 세운다. 동작을 반복한다. 상체를 숙이고 펼 때 척추가 동글게 구부러지지 않도록 하며 아치형을 유지한다. 반복 횟수를 늘리는 것보다 천천히 실시하는 것이 더 큰 효과를 가져다준다.",good_morning.mp4,https://www.youtube.com/embed/e1bCOy0S0SU?si=oLpfCMp6JWUacvH8
굿모닝 - 바벨,허리,등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다. 어깨너비보다 넓게 바벨을 잡고 바를 가슴까지 끌어올린 후 머리 위로 들어올려 승모근에 올려놓는다.무릎을 약간 굽히고 허리를 곧게 펴고 시선은 전방을 향한다. 허리에 힘을 주어 긴장한 상태에서 상체를 바닥과 평행이 될 때까지 숙인다. 다시 허리의 힘으로 젖히듯이 천천히 원위치한다. 요추의 정상적인 만곡과 무릎의 각도를 일정하게 유지한다. 무릎을 지나치게 펴게 되면 무릎 앞쪽에 압축력이 강해지므로 약간 구부린 상태를 유지한다.,good_morning-barbell.mp4,https://www.youtube.com/embed/WwhCnOfl9e0?si=Ah24EInQuw9ZidJu
굿모닝 - 덤벨,허리,덤벨을 이용한 굿모닝 동작이다. 등과 허리를 강화시키고 둔근과 대퇴이두근을 발달시키는 데 효과적인 운동이다. 무거운 무게를 들기보다는 정확한 자세로 실시하는 것이 중요하다. 발은 어깨너비로 벌리고 서서 양손에 든 덤벨을 가슴에서 X자로 교차시킨다. 이때 무릎을 약간 굽히고 허리를 곧게 펴고 시선은 전방을 향한다. 허리의 긴장감 유지하면서 상체를 바닥과 평행이 될 때까지 숙인다. 허리의 힘을 이용하여 천천히 상체를 일으킨다. 동작을 반복한다. 상체를 숙이고 펼 때 척추가 동글게 구부러지지 않도록 하며 아치형을 유지한다. 반복 횟수를 늘리는 것보다 천천히 실시하는 것이 더 큰 효과를 가져다준다.,good_morning-dumbbell.mp4,https://www.youtube.com/embed/6M9Da2a6zsc?si=7_4KBGTCogYVhLky
스쿼트 - 스미스 머신,허벅지,"바벨 스쿼트 운동에 비해 고립된 운동으로 대퇴부와 둔부 크기를 증가시키기 위한 운동이다. 무릎과 등 하부에 부담을 줄이고 대퇴를 강도 높게 자극할 수 있다. 초보자들이 쉽고 안전하게 할 수 있는 장점이 있지만 등과 허리에 통증이 있는 경우엔 레그 프레스 운동으로 대체해서 실시하는 것이 바람직하다. 바벨을 어깨 위에 올리고 어깨너비보다 넓게 바벨을 잡는다.스쿼트 랙 아래에서 어깨너비로 서서 발끝이 약간 바깥쪽으로 향하도록 한다.시선은 정면을 향하고 복부에 힘을 주어 허리를 단단히 조여준다. 무릎이 발끝보다 앞으로 나오지 않도록 하면서 허벅지와 수평이 될 때까지 앉는다. 발뒤꿈치로 민다는 느낌으로 허벅지에 힘을 주면서 일어선다. 안정성을 위해 허리는 항상 곧게 펴고, 척추의 곡선을 그대로 유지하면서 대퇴, 고관절, 아킬레스건의 유연성이 사전에 확보되도록 스트레칭한다. 바벨을 들어올리는 동안 머리를 숙이지 않는다. 무릎을 바깥쪽 또는 안쪽으로 굽히지 말고, 일정하게 수평을 이루며 동작을 실시한다. 배에 힘을 주어 복압을 증가시키면, 보다 강한 힘을 낼 수 있으며, 허리 부상의 위험을 최소화할 수 있다.",squat-smith_machine.mp4,https://www.youtube.com/embed/xAzWNBmDS-I?si=LVe4_UVcwBnlLM1b
레그 프레스,허벅지,"대퇴사두근과 둔근을 강화시켜주는 대표적이고 필수적인 하체 운동이다. 초보자가 실시하기에 가장 적당한 하체 운동이며 스쿼트에 비해 허리에 가해지는 부하가 적어 비교적 무거운 무게로 운동을 할 수 있는 장점이 있다. 또한 발판의 지지 위치에 변화를 줄 경우 좀 더 집중적인 근력 향상을 꾀할 수 있다. 머신에 앉아 엉덩이와 어깨를 밀착시킨다. 양발을 발판에 대고 어깨너비만큼 벌린 다음 무릎을 편다. 앉는다는 느낌으로 천천히 무릎이 90도가 될 때까지 구부린다. 발뒤꿈치로 민다는 느낌으로 허벅지에 힘을 주면서 무릎을 편다. 무릎을 완전히 펴지 말고 약간 구부려주는 것이 운동 효과에 좋다. 대퇴사두근의 힘으로 지탱하며 지속적으로 실시한다. 엉덩이와 허리가 항상 기구에 밀착해 있어야 한다. 발판의 보폭을 좁게 하면 대퇴부 바깥쪽이, 넓게하면 대퇴부 안쪽이 발달된다. 발을 발판의 윗쪽에 대고 하면 대둔근이, 발을 발판의 아래쪽에 대고 하면 대퇴사두근 아래쪽이 발달된다.",leg_press.mp4,https://www.youtube.com/embed/EV0F_3S7Sks?si=w9pxZ4wzmAeSvRU4
레그 익스텐션,허벅지,"허벅지 전면 근육을 발달시키는 운동이다. 여성의 경우, 적당한 무게로 횟수를 늘려 실시하면 탄력 있는 허벅지를 만드는 데 효과적이다. 또한 두 다리의 근력 수준 차이를 극복하기 위해 한 발씩 실시해도 좋은 운동이 될 수 있다. 등받이에 등을 대고 손잡이를 잡은 다음, 발목을 어깨너비보다 좁게 벌려서 롤패드에 고정시킨다. 다리를 들어올려 무릎을 펴서 허벅지 근육을 수축시킨다. 천천히 저항을 느끼면서 다리를 내리며 긴장을 유지한다. 상체에 반동이 일어나지 않도록 천천히 실시할 수 있도록 주의한다. 무릎의 각도가 90도 이상 과도하게 넘지 않도록 하고, 다리 근육에 지속적인 긴장이 유지될 수 있도록 한다.",leg_extension.mp4,https://www.youtube.com/embed/mS9iwXhycJI?si=78fxVcVcOEz7qLyj
레그 컬 - 라잉,허벅지,"대퇴후면의 슬굴곡근을 발달시키기 위한 운동이다. 스탠딩 레그 컬보다 많은 중량을 들 수 있는 것이 장점으로, 하체 근력이 약한 사람에게 필수적인 운동이다. 단순관절 운동인 만큼 정확한 자세를 유지하는 것이 중요하다. 슬개골이 벤치 끝을 살짝 넘어오도록 위치시킨 후 기구 위에 엎드려 손잡이를 잡는다.발목을 기구에 걸고 아킬레스건 위에 롤패드가 오도록 위치시킨다. 허벅지 힘으로 패드를 끌어당기며 무릎을 굽힌다. 천천히 저항을 느끼며 다리를 내린다. 과도한 중량으로 동작 시 엉덩이를 사용할 경우 요통이 유발될 수 있다. 다리를 완전히 내리지 않도록 주의한다. 발목을 몸쪽 방향으로 잡아 당긴 상태로 실시하면 더욱 큰 자극을 느낄 수 있다.",leg_curl-lying.mp4,https://www.youtube.com/embed/9w8d_EL-7e4?si=JGwTfCcJKYcxTDbv
"데드리프트 - 바벨, 스티프 레그드",허벅지,"슬굴곡근과, 척추기립근, 대둔근이 통합적으로 동원되어 대퇴후면과 등 하부를 동시에 강화시켜주는 운동이다. 머리를 숙이거나 등을 곧게 펴지 않고 실시할 경우 허리 통증을 호소할 수 있으므로 운동 전 충분한 자세 연습이 필요한 동작이다. 탄력 있는 뒷모습을 만들고 싶은 여성에게 추천하는 운동이다. 바벨을 들고 양발 사이에 발 하나가 들어갈 정도로 좁게 선다.어깨가 굽지 않도록 시선을 앞쪽에 두고 가슴을 내밀어 준다. 등의 각도가 지면과 수평에 가까워질 때까지 상체를 숙인다.시선은 45도 앞을 바라본다. 대퇴이두근의 힘을 이용하여 상체를 일으킨다. 허리는 곧게 펴고 가슴을 앞으로 내밀어 바른 자세를 유지한다. 머리를 숙이지 않고 시선을 전방을 향하게 하면 허리가 자연스럽게 펴진다. 세트 사이에 허리와 하체 스트레칭을 꼭 실시하도록 한다. 무릎을 살짝 굽혔을 때 슬와근에 주어지는 자극이 커진다. 팔의 힘을 이용하지 않는다.",dead_lift-barbell_stiff-legged.mp4,https://www.youtube.com/embed/8Pc-HiMTfD0?si=KaVzU4nfr3Ji1kcp
점프 스쿼트,허벅지,하체의 체지방은 연소하고 탄력을 향상시키는 데 효과적인 운동이다. 자기 체중을 갖고 하는 근력 운동으로 하체 근력이 어느 정도 있는 경우에는 이 동작 하나로도 강한 운동 효과를 얻을 수 있다. 지속적으로 실시하면 탄력 있는 다리 라인을 만들 수 있다. 다리를 어깨너비로 벌리고 선다. 엉덩이를 무릎 높이까지 내리고(스쿼트 자세) 양팔을 앞으로 나란히 뻗는다. 이때 무릎이 발끝보다 앞으로 나오지 않도록 한다. 다리에 힘을 주고 팔은 힘껏 뒤로 밀면서 위로 점프하며 뛰어오른다. 쿵 소리가 나지 않게 천천히 떨어진다. 스쿼트 자세로 돌아온다. 동작을 반복한다. 착지 시에 발뒤꿈치에 체중이 실리지 않도록 유의한다. 발 앞꿈치부터 바닥에 떨어져야 무릎관절에 무리가 덜 간다. 체중이 앞으로 쏠리지 않도록 한다. 바닥을 세게 차고 높이 점프할수록 운동 강도가 높아진다.,jump_squat.mp4,https://www.youtube.com/embed/SL-reYwCRes?si=fjeUP1EF5IkPH2zL
힙 어브덕션,엉덩이,허리를 일자로 세워 가슴을 펴주고 엉덩이를 빼주는 느낌으로 앉아 무릎과 발을 일직선으로 놓아준다. 무릎을 최대한 벌려주며 천천히 밀어주는 느낌으로 중둔근 엉덩이 근육에 집중하며 진행해준다. 원위치로 돌아갈 때도 중량에 저항하며 (무게를 버티면서) 천천히 움직인다.,hip_abduction.mp4,https://www.youtube.com/embed/E-BbAqqRV94?si=RTuaH4E8OX_WPvhT
브릿지,엉덩이,엉덩이 근육을 발달시켜 힙업에 효과적인 동작이다. 등 근육 발달에도 도움이 된다. 특히 요통이 있거나 장시간 책상에 앉아 있는 경우에 수시로 이 동작을 반복해주면 뭉친 허리 근육을 시원하게 풀 수 있다. 천장을 바라보고 누운 상태에서 양팔은 펴서 손바닥을 바닥에 대고 무릎은 세워 A자가 되도록 한다. 숨을 내쉬면서 골반을 위로 들어 올린다. 엉덩이에 긴장감 느끼면서 1~2초간 정지 자세를 취한다. 숨을 들이마시면서 골반을 바닥에 내린다. 동작을 반복한다. 동작 시 허리는 곧게 펴고 엉덩이의 긴장을 풀지 않아야 한다. 다리의 힘이 아니라 엉덩이의 힘으로 올린다는 느낌으로 실시한다. 동작 시 엉덩이의 지속적인 자극(수축과 이완)을 느끼도록 집중한다.,bridge.mp4,https://www.youtube.com/embed/TkBODvEUPSE?si=cdIyAmO3_q0q5nFl
덩키 킥,엉덩이,"엉덩이를 힙업하고 탄력 있게 만드는 데 탁월한 동작이다. 스쿼트, 런지 등 엉덩이 큰 근육을 강화하는 운동 다음에 실시하면 효과를 배가시킬 수 있다. 무릎과 손을 바닥에 대고 엎드린 자세를 취한다. 한쪽 다리를 등과 수평이 되도록 들어 올린다. 발목을 펴 발끝이 천장을 향하게 한 상태로 다리를 위로 밀어 올린다. 엉덩이에 긴장감 느끼면서 올린 다리를 천천히 등 높이로 내린다. 동작을 반복한다. 반대쪽도 같은 방법으로 반복 실시한다. 골반이 바닥과 수평이 되도록 유지하며, 천장 쪽으로 뒤집히지 않도록 주의한다. 양손은 어깨 바로 아래에 둔다. 허리가 아치형으로 휘지 않도록 한다. 골반이 틀어지지 않도록 허리로 몸의 중심을 잡고 엉덩이 아래쪽에 자극이 가도록 천천히 들어 올린다. 다리를 높이 드는 것이 중요한 것이 아니다. 무조건 높이 올린다고 엉덩이에 운동 부하가 전달되는 것은 아니기 때문이다. 매트가 없으면 무릎이 배기지 않도록 얇은 수건을 무릎에 대고 해도 좋다. 다리를 최대로 올린 상태에서 1~2초 정도 자세 유지하다가 내려주면 운동 효과를 더 극대화할 수 있다.",donkeykick.mp4,https://www.youtube.com/embed/APJ7WCILgqg?si=Af0CdArINysw1TFJ
멀티힙 - 밴드,엉덩이,밴드를 이용하여 허벅지 바깥쪽 근육과 엉덩이 근육을 강화하는 운동법이다. 탄력적이고 볼륨 있는 엉덩이 라인을 살리는 데 효과적이다. 특히 골반관절을 튼튼하게 만들어주어 여성들에게 추천된다. 밴드를 벌려 한쪽 발로 밟는다. 한쪽 발바닥에 밴드를 걸친 상태에서 반대쪽 손으로 밴드를 잡아 허리에 고정시킨다. 호흡을 내쉬면서 밴드를 걸친 다리를 옆으로 최대한 들어 올린다.,multihip-band.mp4,https://www.youtube.com/embed/wLFckqHQNY4?si=FdI6RncyMqhcJPAT
볼 워킹,엉덩이,"호흡을 들이마시면서 다리를 천천히 내린다. 동작을 반복한다. 반대쪽도 같은 방법으로 반복 실시한다. 허리가 앞으로 구부러지지 않도록 주의한다. 발끝이 정면을 향하도록 유지한다. 대표적인 근력 밴드 중 하나인 세라밴드(Thera-Band)는 황갈색, 노란색, 빨간색, 녹색, 파란색, 검정색, 은색, 금색 순으로 강도가 더 커지는데, 황갈색과 노란색은 노약자, 빨간색과 녹색은 일반 여성, 파란색과 검정색은 일반 남성, 은색과 금색은 근력이 강한 사람이 사용한다. 자신의 근력 상태에 따라 적절한 강도의 밴드를 선택한다. 밴드는 다리를 들었을 때 팽팽한 느낌이 들 수 있는 길이가 적당하며, 자신의 하체 근력에 따라 적당하게 손으로 밴드를 휘감아 길이를 조정한다. 이완할 때는 밴드의 탄력을 버티며 천천히 실시한다.",ball_walking.mp4,https://www.youtube.com/embed/lsIQFN_l1Uo?si=FZq44uDKKC077V4z
사이드 힙 킥,엉덩이,"측면 엉덩이 근육인 중둔근, 소둔근을 발달시켜 군살 없는 힙라인을 만들어준다. 다리를 높이 올릴수록 옆구리의 근육들이 더 강하게 자극되어 보디라인의 탄력을 향상시킬 수 있다. 옆으로 누워 한쪽 팔꿈치를 바닥에 대고 상체를 든다. 다른쪽 손으로 바닥을 짚어 중심을 잡는다. 숨을 내쉬면서 위쪽의 다리를 최대한 높이 들어 올린다. 가장 위로 올린 지점에서 1~2초간 정지 자세를 유지하고 측면 엉덩이에 수축을 지속시켜 준다. 숨을 들이마시면서 올린 다리를 내린다. 동작을 반복한다. 반대쪽도 같은 방법으로 실시한다. 상체가 흔들리지 않도록 잘 고정시킨다. 바닥에 기댄 어깨가 귀에 붙지 않도록 상체를 바르게 편다. 다리의 힘이 아닌 엉덩이의 힘으로 다리를 들어 올린다는 느낌으로 실시한다. 동작 시 엉덩이의 지속적인 자극(수축과 이완)을 느끼도록 집중한다. 발의 복숭아뼈 주변 근육들까지 긴장감이 유지되는지 확인하면서 동작을 천천히 실시하면 더욱 효과적이다.",side_hip_kick.mp4,https://www.youtube.com/embed/IBsQf3XNC10?si=rUSdNslQUYQk8YaB
숄더 프레스 - 머신,어깨,"삼각근의 전면과 측면의 볼륨을 키울 수 있는 다관절 운동이다. 머신을 이용하기 때문에 동작의 컨트롤이 용이하고 안정된 자세로 좀 더 많은 중량을 다룰 수 있다는 장점이 있다. 반면 중력 방향에 대한 저항만이 근육에 가해지기 때문에 다양한 자극을 부여하기는 어려운 점이 있다. 그러나 안전하게 근육을 발달시킬 수 있는 운동이다. 머신에 앉아 엉덩이와 어깨를 벤치에 밀착시킨다.어깨너비 두 배 정도로 양손을 벌린 상태에서 손바닥이 앞을 향하도록 바를 잡는다. 손으로 밀지 말고 어깨로 드는 느낌으로 중량을 밀어 올린다. 저항을 느끼면서 서서히 바가 귀와 평행하게 될 때까지 내린다. 손이 그리는 궤도를 팔꿈치가 그대로 따라 갈 수 있도록 동작한다. 벤치에서 허리가 지나치게 떨어지지 않도록 한다. 바가 지나치게 내려오게 되면 어깨에 부상을 유발할 수 있으므로 귀 높이까지만 동작한다. 팔꿈치를 완전히 펴면 삼각근에 자극이 풀어지게 되므로 완전히 신전하지 않는다. 수평바를 이용하면 삼각근에 자극이 집중되고, 수직바를 이용하면 보조근인 삼두근에 자극을 증가시킬 수 있다.",shoulder_press-machine.mp4,https://www.youtube.com/embed/NQ0NNVbUZ7s?si=5jZWffRdQX7mtu7u
비하인드 넥 프레스 - 스미스 머신,어깨,"바가 목 뒤로 넘어가도록 동작하여 전면 삼각근만을 고립시켜 선택적으로 자극을 가하는 운동이다. 프리 웨이트에 비해 안정적이긴 하지만 관절이 불안정한 상태에서 하는 운동이므로 어깨 운동에 익숙한 경우에 실시한다. 벤치에 앉아 허리와 어깨와 바를 수직으로 맞춘다. 어깨너비 두 배 정도로 바벨을 잡고, 잠금장치를 풀어 바벨을 어깨와 수직이 되게 들어올린다.이때 팔꿈치를 완전히 펴지 말고 약간 굽힌 상태까지 들어올린다. 뒷머리를 스치듯이 귀와 평행이 될 때까지 저항을 느끼면서 바를 내린다. 어깨를 들어올리는 느낌으로 머리 위로 바를 밀어준다. 바를 지나치게 뒤로 보내면 어깨 관절에 손상이 발생할 수 있으므로 가능한 머리 바로 뒤에서 동작할 수 있도록 한다. 목의 정형외과적 문제가 있는 경우 숄더 프레스로 대체한다. 허리가 지나치게 꺾어지지 않도록 유의한다. 서서 실시할 경우 복근, 요부근, 하체 등 전신 근력 발달을 촉진할 수 있다. 앉아서 실시하면 보다 삼각근에 집중할 수 있고 좀 더 많은 중량을 다룰 수 있다. 머신에서 실시하는 만큼 양쪽에 같은 부하가 느껴질 수 있도록 집중한다.",behind_neck_press-smith_machine.mp4,https://www.youtube.com/embed/KhRBwbi2CSI?si=KK6f1mBVrpdSHT0E
숄더 프레스 - 바벨,어깨,"삼각근의 전면과 측면의 볼륨을 키울 수 있는 운동이다. 머신과 비교해 전후 방향으로 작용하는 힘에 저항하게 되므로 근 발달에는 조금 더 효과적이나 안정성이 떨어진다. 전면 및 측면 삼각근의 단면적을 키우는 데 가장 효과적인 운동법이다. 선 상태에서 어깨너비 두 배 정도로 바벨을 잡고 발은 어깨너비만큼 벌린다.가슴 위쪽으로 바벨을 올린다. 가슴에서부터 머리 위로 바벨을 들어올린다. 어깨에 저항을 느끼면서 바가 귀와 수평이 될 때까지 바벨을 내린다.가슴에서 머리까지 바벨을 들어올리고 내리는 동작을 반복한다. 팔꿈치가 벌어지면 보조근인 삼두근의 작용이 커지므로 전완이 평행하도록 유지한다. 상체는 가능한 중립적인 자세를 유지한다. 서서 실시할 경우 복근, 요부근, 하체 등 전신 근력 발달을 촉진할 수 있다. 앉아서 실시하면보다 삼각근에 집중할 수 있고 좀 더 많은 중량을 다룰 수 있다. 무릎을 살짝 구부리면 반동을 줄일 수 있다.",shoulder_press-barbell.mp4,https://www.youtube.com/embed/XJzRRmaoerk?si=Y3-yALl9sDSF6Vf7
비하인드 넥 프레스 - 바벨,어깨,"바가 목 뒤로 넘어가도록 동작하여 전면 삼각근만을 고립시켜 선택적으로 자극을 가하는 운동이다. 어깨 관절 운동 범위의 한계점에서 동작하기 때문에 자세의 유지는 쉬우나 그만큼 상해의 위험성이 크다. 스미스 머신 비하인드 넥 프레스에 비해 안정성은 많이 떨어지나 전후 방향의 자극에 추가적으로 저항하게 되어 근육 발달의 효과는 크다. 벤치에 앉아 어깨너비 두 배로 바벨을 잡는다. 머리 위로 바벨을 들어올린다. 머리 뒤를 스치듯이 바가 귀와 평행이 될 때까지 천천히 바벨을 내린다. 몸통이 최대한 움직이지 않도록 어깨 힘으로 바벨을 다시 들어올린다. 전완이 전후, 좌우로 바닥과 수직인 상태를 유지하며 바가 몸에서 멀어지지 않도록 주의한다. 허리가 지나치게 젖혀지지 않도록 중립적인 자세를 유지한다. 최대 수축 지점에서 상체가 앞으로 나오지 않도록 주의한다. 바벨 숄더 프레스보다 약간 가벼운 중량을 이용한다. 견갑골을 가능한 등 뒤로 당겨 놓은 상태에서 동작하는 것이 관절의 안정성을 높일 수 있다. 서서 실시하면 전신 근육의 발달을 유도할 수 있다.",behind_neck_press-barbell.mp4,https://www.youtube.com/embed/Oo1RL5VN35Q?si=tDoSa1XPub4tDB9R
숄더 프레스 - 덤벨,어깨,"삼각근의 전면과 측면의 볼륨과 선명도를 증가시킬 수 있는 운동이다. 바벨 프레스에 비해 어깨의 완전한 가동 범위로 운동할 수 있는 장점이 있다. 전후 또는 좌우 방향의 힘이 추가되어 삼각근의 균형적인 발달을 극대화시킬 수 있다. 하지만 그만큼 컨트롤이 어려워 중량을 많이 다룰 수 없기 때문에 근육 크기 발달에 있어서는 바벨 운동이 더 효과적이다. 벤치에 앉아 등과 허리를 곧게 편다. 덤벨이 귀와 수평이 되고 팔꿈치가 직각이 되도록 위치시킨다. 이두근이 귀에 닿는 느낌으로 덤벨을 머리 위로 들어올린다. 천천히 저항을 느끼면서 덤벨이 귀와 수평될 때까지 내린다. 덤벨이 지나치게 몸쪽이나 바깥쪽으로 나가면 주변 근육의 상해의 위험이 있으므로 주의한다. 덤벨이 뒤쪽으로 넘어가게 되면 어깨를 바깥쪽으로 돌아가게 하여 탈구의 위험이 증가하게 되므로 주의한다. 덤벨이 서로 부딪히거나 팔꿈치가 완전히 펴지게 되면 목표 근육에 힘을 유지할 수 없게 되므로 주의하여 동작한다. 팔꿈치가 몸 앞쪽으로 나오게 되면 삼각근 전면과 측면에 자극이 되고, 팔꿈치가 상체와 평행한 위치에 오게 되면 삼각근 전면의 고립 운동이 된다.",shoulder_press-dumbbell.mp4,https://www.youtube.com/embed/Ech4wjq4tWA?si=ZipHh2ZDuTX0Nrhs
아놀드 프레스,어깨,아놀드 슈왈제네거가 고안해낸 삼각근 운동으로 전면 삼각근의 수축으로 시작하여 측면 삼각근 수축으로 동작이 마무리되는 기능 향상 운동이라고 할 수 있다. 넓은 가동 범위로 어깨 전체를 운동할 수 있다. 벤치에 앉아 등과 허리를 곧게 편다. 손등이 앞을 향하게 하여 덤벨을 얼굴 앞으로 들어올린다. 손목을 몸 바깥쪽으로 회전시키면서 덤벨을 머리 위로 들어올린다. 손목을 몸 안쪽으로 회전시키면서 다시 얼굴 앞으로 덤벨을 내린다. 덤벨이 몸 바깥쪽으로 나가게 되면 어깨 근육에 손상이 발생할 수 있으므로 전완이 바닥과 수직인 상태를 유지한다. 앉아서 실시하면 보다 삼각근을 집중하여 단련할 수 있다. 수축 동작의 마지막 부분에서 전완을 돌리는 것이 삼각근에 가해지는 자극을 크게 할 수 있다.,arnold_press.mp4,https://www.youtube.com/embed/PPy2WOkiGjw?si=IcyDB5c40HIDI6LJ
